PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	"Tomao, Antonio; Secondi, Luca; Carrus, Giuseppe; Corona, Piermaria; Portoghesi, Luigi; Agrimi, Mariagrazia"								"Restorative urban forests: Exploring the relationships between forest stand structure, perceived restorativeness and benefits gained by visitors to coastal Pinus pinea forests"								ECOLOGICAL INDICATORS				90				594	605		10.1016/j.ecolind.2018.03.051			Jul-18	2018										0							WOS:000440266100061	
J	"Kim, Daehyun"								Characterizing the Pathway and Rate of Salt Marsh Vegetation Dynamics: a Multivariate Approach								ESTUARIES AND COASTS				41	5			1370	1380		10.1007/s12237-018-0377-8			Jul-18	2018										0							WOS:000433916300011	
J	"Parra, Antonio; Moreno, Jose M."								Drought differentially affects the post-fire dynamics of seeders and resprouters in a Mediterranean shrubland								SCIENCE OF THE TOTAL ENVIRONMENT				626				1219	1229		10.1016/j.scitotenv.2018.01.174			JUN 1 2018	2018										3							WOS:000428194000120	
J	"Kristensen, Thea V.; Kovach, Adrienne I."								Spatially explicit abundance estimation of a rare habitat specialist: implications for SECR study design								ECOSPHERE				9	5					e02217	10.1002/ecs2.2217			May-18	2018										0							WOS:000435640100014	
J	"Zhou, Yong; Boutton, Thomas W.; Wu, X. Ben; Wright, Cynthia L.; Dion, Anais L."								Rooting strategies in a subtropical savanna: a landscape-scale three-dimensional assessment								OECOLOGIA				186	4			1127	1135		10.1007/s00442-018-4083-9			Apr-18	2018										1							WOS:000427875700021	
J	"Miao, Renhui; Qiu, Xueli; Guo, Meixia; Musa, Ala; Jiang, Deming"								Accuracy of space-for-time substitution for vegetation state prediction following shrub restoration								JOURNAL OF PLANT ECOLOGY				11	2			208	217		10.1093/jpe/rtw133			Apr-18	2018										3							WOS:000427134100005	
J	"Zhang, Gefei; Zhao, Wenzhi; Zhou, Hai; Yang, Qiyue; Wang, Xiaofen"								Extreme drought stress shifts net facilitation to neutral interactions between shrubs and sub-canopy plants in an arid desert								OIKOS				127	3			381	391		10.1111/oik.04630			Mar-18	2018										0							WOS:000426652500006	
J	"Schantz, Merilynn C.; Sheley, Roger L.; James, Jeremy J."								Effects of propagule pressure and priority effects on seedling recruitment during restoration of invaded grassland								JOURNAL OF ARID ENVIRONMENTS				150				62	70		10.1016/j.jaridenv.2017.12.001			Mar-18	2018										1							WOS:000424718100009	
J	"Martinez, Cericia; Preston, Todd M."								"Oil and gas development footprint in the Piceance Basin, western Colorado"								SCIENCE OF THE TOTAL ENVIRONMENT				616				355	362		10.1016/j.scitotenv.2017.10.280			Mar-18	2018										1							WOS:000424121800035	
J	"Paul, Keryn I.; England, Jacqueline R.; Baker, Thomas G.; Cunningham, Shaun C.; Perring, Michael P.; Polglase, Phil J.; Wilson, Brian; Cavagnaro, Timothy R.; Lewis, Tom; Read, Zoe; Madhavan, Dinesh B.; Herrmann, Tim"								Using measured stocks of biomass and litter carbon to constrain modelled estimates of sequestration of soil organic carbon under contrasting mixed-species environmental plantings								SCIENCE OF THE TOTAL ENVIRONMENT				615				348	359		10.1016/j.scitotenv.2017.09.263			FEB 15 2018	2018										1							WOS:000414922600037	
J	"Jiang, Xingpei; Michalet, Richard; Chen, Shuyan; Zhao, Liang; Wang, Xiangtai; Wang, Chenyue; An, Lizhe; Xiao, Sa"								Phenotypic effects of the nurse Thylacospermum caespitosum on dependent plant species along regional climate stress gradients								OIKOS				127	2			252	263		10.1111/oik.04512			Feb-18	2018										2							WOS:000423848100008	
J	"Pang, Chun-chiu; Ma, Xoni Kwan-Ki; Hung, Tony Tun-hei; Hau, Billy Chi-hang"								"Early ecological succession on landslide trails, Hong Kong, China"								ECOSCIENCE				25	2			153	161		10.1080/11956860.2018.1431377			2018	2018										1							WOS:000430415400004	
J	"Haby, Nerissa A.; Brandle, Robert"								Passive recovery of small vertebrates following livestock removal in the Australian rangelands								RESTORATION ECOLOGY				26	1			174	182		10.1111/rec.12542			Jan-18	2018										0							WOS:000419754800022	
J	"Lortie, Christopher J.; Gruber, Eva; Filazzola, Alex; Noble, Taylor; Westphal, Michael"								The Groot Effect: Plant facilitation and desert shrub regrowth following extensive damage								ECOLOGY AND EVOLUTION				8	1			706	715		10.1002/ece3.3671			Jan-18	2018										2							WOS:000419483200062	
J	"Gholami, Shaieste; Saadat, Latifeh; Sayad, Ehsan"								Different microhabitats have contrasting effects on the spatial distribution of tree regeneration density and diversity								JOURNAL OF ARID ENVIRONMENTS				148				1	5		10.1016/j.jaridenv.2017.10.008			Jan-18	2018										1							WOS:000418105900001	
J	"Kiffner, Christian; Rheault, Helena; Miller, Elizabeth; Scheetz, Tanner; Enriquez, Vivien; Swafford, Rachelle; Kioko, John; Prins, Herbert H. T."								Long-term population dynamics in a multi-species assemblage of large herbivores in East Africa								ECOSPHERE				8	12					e02027	10.1002/ecs2.2027			Dec-17	2017										1							WOS:000423423200002	
J	"Chipman, M. L.; Hu, F. S."								"Linkages Among Climate, Fire, and Thermoerosion in Alaskan Tundra Over the Past Three Millennia"								JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES				122	12			3362	3377		10.1002/2017JG004027			Dec-17	2017										1							WOS:000423221300016	
J	"Weng, Chi-Yu; Yang, Kuoh-Cheng; Hsieh, Chang-Fu; Hsieh, Chih-hao; Su, Mong-Huai"								Local neighborhood communities in the understory play a critical role by affecting regeneration niches and subsequent community assembly in a montane cloud forest								ECOLOGICAL RESEARCH				32	6			821	833		10.1007/s11284-017-1475-y			Nov-17	2017										3							WOS:000415248500008	
J	"Mellado, Ana; Zamora, Regino"								Parasites structuring ecological communities: The mistletoe footprint in Mediterranean pine forests								FUNCTIONAL ECOLOGY				31	11			2167	2176		10.1111/1365-2435.12907			Nov-17	2017										3							WOS:000414248100015	
J	"D'Antonio, Carla M.; Yelenik, Stephanie G.; Mack, Michelle C."								Ecosystem vs. community recovery 25 years after grass invasions and fire in a subtropical woodland								JOURNAL OF ECOLOGY				105	6			1462	1474		10.1111/1365-2745.12855			Nov-17	2017										2							WOS:000413341700002	
J	"Wang, Ning; Jiao, Juying; Jia, Yanfeng; Wang, Dongli"								"Influence of Afforestation on the Species Diversity of the Soil Seed Bank and Understory Vegetation in the Hill-Gullied Loess Plateau, China"								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				14	10					1285	10.3390/ijerph14101285			Oct-17	2017										0							WOS:000414763200193	
J	"Chang, Jisung; Shoshany, Maxim"								Radar polarization and ecological pattern properties across Mediterranean to-arid transition zone								REMOTE SENSING OF ENVIRONMENT				200				368	377		10.1016/j.rse.2017.08.032			Oct-17	2017										1							WOS:000412607600026	
J	"Barbosa, Jomar M.; Asner, Gregory P."								Prioritizing landscapes for restoration based on spatial patterns of ecosystem controls and plant-plant interactions								JOURNAL OF APPLIED ECOLOGY				54	5			1459	1468		10.1111/1365-2664.12857			Oct-17	2017										3							WOS:000410678700018	
J	"Sun, Zhongyu; Huang, Yuhui; Yang, Long; Schaefer, Val; Chen, Yanqiao"								"Plantation age, understory vegetation, and species-specific traits of target seedlings alter the competition and facilitation role of Eucalyptus in South China"								RESTORATION ECOLOGY				25	5			749	758		10.1111/rec.12499			Sep-17	2017										2							WOS:000411686900011	
J	"Farzam, Mohammad; Ejtehadi, Hamid"								Effects of drought and slope aspect on canopy facilitation in a mountainous rangeland								JOURNAL OF PLANT ECOLOGY				10	4			626	633		10.1093/jpe/rtw070			Aug-17	2017										0							WOS:000417976800006	
J	"Dyderski, Marcin K.; Banaszczak, Piotr; Rawlik, Mateusz; Jagodzinski, Andrzej M."								Interaction between invasive and potentially invasive shrub species does not influence relationships between their ecological success and distance from propagule sources								PLANT ECOLOGY				218	8			923	933		10.1007/s11258-017-0740-z			Aug-17	2017										1							WOS:000406652800002	
J	"Londe, Vinicius; de Sousa, Hildeberto Caldas; Kozovits, Alessandra R."								"Key plant indicators for monitoring areas undergoing restoration: A case study at the Das Velhas River, southeast Brazil"								ECOLOGICAL ENGINEERING				103				191	197		10.1016/j.ecoleng.2017.04.012			Jun-17	2017										1							WOS:000402830200021	
J	"Hunter, John Thomas; Hunter, Vanessa Hewlett"								The complex nature of headland shrub encroachment: The case of Headland Zieria (Zieria prostrata)								ECOLOGICAL MANAGEMENT & RESTORATION				18	2			115	119		10.1111/emr.12255			May-17	2017										1							WOS:000404289000004	
J	"Andivia, Enrique; Villar-Salvador, Pedro; Tovar, Liliana; Rabasa, Sonia; Rey Benayas, Jose M."								Multiscale assessment of woody species recruitment in Mediterranean shrublands: facilitation and beyond								JOURNAL OF VEGETATION SCIENCE				28	3			639	648		10.1111/jvs.12520			May-17	2017										3							WOS:000400937500019	
J	"Lara-Romero, Carlos; Gusman-M, Elizabeth; Ramon, Pablo; Velez-Morac, Diego; Ivan Espinosac, Carlos"								Does size matter? Ontogenetic responses of an Andean shrub to conspecific density-dependence								PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS				25				59	67		10.1016/j.ppees.2017.02.002			Apr-17	2017										1							WOS:000412416000005	
J	"Liczner, Amanda R.; Sotomayor, Diego A.; Filazzola, Alessandro; Lortie, Christopher J."								Germination response of desert annuals to shrub facilitation is species specific but not ecotypic								JOURNAL OF PLANT ECOLOGY				10	2			364	374		10.1093/jpe/rtw030			Apr-17	2017										1							WOS:000402091500011	
J	"Lopez, Dardo R.; Cavallero, Laura"								The role of nurse functional types in seedling recruitment dynamics of alternative states in rangelands								ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY				79				70	80		10.1016/j.actao.2017.01.003			Feb-17	2017										0							WOS:000396956600008	
J	"Yanuarsyah, I.; Suwarno, Y.; Hudjimartsu, S."			IOP					"The Use of Hotspot Spatial Clustering and Multitemporal Satellite Imagery to Facilitate Peat Land Degradation in West Kalimantan, Indonesia (Case Study in Mensiku Miniwatershed of Kapuas River)"								IOP Conference Series-Earth and Environmental Science				47						12046	10.1088/1755-1315/47/1/012046			2017	2017						2nd International Conference of Indonesian-Society-for-Remote-Sensing (ICOIRS)	"OCT 17-19, 2017"	Indonesian Soc Remote Sensing; MAPIN ISRS Yogyakarta Chapter; Badan Informasi Geospasial; Indonesian Geog Soc; DigitalGlobe; Ametisgeo; RIEGL; GPS LANDS Sdn Bhd; SKYMAP GLOBAL; BHUMI PRASAJA; Hexagon Geospatial; AIRBUS; CGS; COMPNET	"Univ Gadjah Mada, Fac Geog, PUSPICS, Yogyakarta, INDONESIA"	0							WOS:000426771600046	
J	"Loayza, Andrea P.; Herrera-Madariaga, Marisol A.; Carvajal, Danny E.; Garcia-Guzman, Patricio; Squeo, Francisco A."								Conspecific plants are better 'nurses' than rocks: consistent results revealing intraspecific facilitation as a process that promotes establishment in a hyper-arid environment								AOB PLANTS				9						plx056	10.1093/aobpla/plx056			2017	2017										1							WOS:000419629700001	
J	"Liu, Rentao; Liu, Jianan; Zhao, Juan; Xi, Weihua; Yang, Zhimin"								Ground-active arthropod recovery in response to size of shrub plantations in a desertified grassland ecosystem								POLISH JOURNAL OF ECOLOGY				65	3			410	422		10.3161/15052249PJE2017.65.3.008			2017	2017										0							WOS:000412150800008	
J	"Forbes, Adam"								Canopy manipulations of exotic Bitter Willow (Salix elaeagnos) forest for indigenous seedling recruitment: A pilot study								ECOLOGICAL MANAGEMENT & RESTORATION				18	1			78	82		10.1111/emr.12239			Jan-17	2017										2							WOS:000393456900011	
J	"Baraza, Elena; Valiente-Banuet, Alfonso"								Proximity to other plants determines the effect of livestock exclusion on eight species in the semiarid scrublands of Mexico								ECOLOGICAL ENGINEERING				98				57	63		10.1016/j.ecoleng.2016.10.053			Jan-17	2017										0							WOS:000390454300008	
J	"Gavinet, Jordane; Prevosto, Bernard; Fernandez, Catherine"								Introducing resprouters to enhance Mediterranean forest resilience: importance of functional traits to select species according to a gradient of pine density								JOURNAL OF APPLIED ECOLOGY				53	6			1735	1745		10.1111/1365-2664.12716			Dec-16	2016										3							WOS:000387768800011	
J	"Gaddis, Keith D.; Thompson, Pamela G.; Sork, Victoria L."								Dry-washes determine gene flow and genetic diversity in a common desert shrub								LANDSCAPE ECOLOGY				31	10			2215	2229		10.1007/s10980-016-0393-7			Dec-16	2016										0							WOS:000387329100002	
J	"Badano, Ernesto I.; Samour-Nieva, Omar R.; Flores, Joel; Flores-Flores, Jose L.; Flores-Cano, Jorge A.; Rodas-Ortiz, Juan P."								Facilitation by nurse plants contributes to vegetation recovery in human-disturbed desert ecosystems								JOURNAL OF PLANT ECOLOGY				9	5			485	497		10.1093/jpe/rtw002			Oct-16	2016										5							WOS:000386153600001	
J	"Pueyo, Yolanda; Moret-Fernandez, David; Arroyo, Antonio I.; de Frutos, Angel; Kefi, Sonia; Saiz, Hugo; Charte, Raquel; de la Luz Giner, Maria; Alados, Concepcion L."								Plant nurse effects rely on combined hydrological and ecological components in a semiarid ecosystem								ECOSPHERE				7	10					e01514	10.1002/ecs2.1514			Oct-16	2016										5							WOS:000387216300047	
J	"Hobbs, Trevor J.; Neumann, Craig R.; Meyer, Wayne S.; Moon, Travis; Bryan, Brett A."								Models of reforestation productivity and carbon sequestration for land use and climate change adaptation planning in South Australia								JOURNAL OF ENVIRONMENTAL MANAGEMENT				181				279	288		10.1016/j.jenvman.2016.06.049			OCT 1 2016	2016										4							WOS:000383291700031	
J	"He, Qiang; Silliman, Brian R."								Consumer control as a common driver of coastal vegetation worldwide								ECOLOGICAL MONOGRAPHS				86	3			278	294		10.1002/ecm.1221/suppinfo			Aug-16	2016										15							WOS:000380746000002	
J	"Champagne, Emilie; Tremblay, Jean-Pierre; Cote, Steeve D."								Spatial extent of neighboring plants influences the strength of associational effects on mammal herbivory								ECOSPHERE				7	6					e01371	10.1002/ecs2.1371			Jun-16	2016										7							WOS:000382158500003	
J	"Xu, Yu; Wang, Bin; Dou, Liang; Yue, Hanqiu; Yang, Nan; Yang, Liu; Liu, Shirong; Ran, Jianghong"								"Estimating density of a rare and cryptic high-mountain Galliform species, the Buff-throated Partridge Tetraophasis szechenyii"								AVIAN CONSERVATION AND ECOLOGY				11	1					10	10.5751/ACE-00853-110110			Jun-16	2016										1							WOS:000379869400010	
J	"Murray, Bryan D.; Webster, Christopher R.; Jenkins, Michael A.; Saunders, Michael R.; Haulton, G. Scott"								Ungulate impacts on herbaceous-layer plant communities in even-aged and uneven-aged managed forests								ECOSPHERE				7	6					e01378	10.1002/ecs2.1378			Jun-16	2016										6							WOS:000378523100032	
J	"Pimont, Francois; Parsons, Russell; Rigolot, Eric; de Coligny, Francois; Dupuy, Jean-Luc; Dreyfus, Philippe; Linn, Rodman R."								Modeling fuels and fire effects in 3D: Model description and applications								ENVIRONMENTAL MODELLING & SOFTWARE				80				225	244		10.1016/j.envsoft.2016.03.003			Jun-16	2016										12							WOS:000376218300018	
J	"Perea, Ramon; Lopez-Sanchez, Aida; Roig, Sonia"								"The use of shrub cover to preserve Mediterranean oak dehesas: a comparison between sheep, cattle and wild ungulate management"								APPLIED VEGETATION SCIENCE				19	2			244	253		10.1111/avsc.12208			Apr-16	2016										3							WOS:000374545600009	
J	"Schantz, Merilynn C.; Sheley, Roger L.; James, Jeremy J.; Hamerlynck, Erik P."								ROLE OF DISPERSAL TIMING AND FREQUENCY IN ANNUAL GRASS-INVADED GREAT BASIN ECOSYSTEMS: HOW MODIFYING SEEDING STRATEGIES INCREASES RESTORATION SUCCESS								WESTERN NORTH AMERICAN NATURALIST				76	1			36	52		10.3398/064.076.0106			Mar-16	2016										2							WOS:000380879000005	
J	"Madrigal-Gonzalez, Jaime; Kelt, Douglas A.; Meserve, Peter L.; Squeo, Francisco A.; Gutierrez, Julio R."								Shrub-ephemeral plants interactions in semiarid north-central Chile: Is the nurse plant syndrome manifested at the community level?								JOURNAL OF ARID ENVIRONMENTS				126				47	53		10.1016/j.jaridenv.2015.08.001			Mar-16	2016										6							WOS:000370101200006	
J	"Melania Acheritobehere, Laura; Alejandra Orellana, Ivonne"								"Influence of wind and native vegetation on the distribution of Pseudotsuga menziesii regeneration in Patagonia, Argentina"								BOSQUE				37	2			317	325		10.4067/S0717-92002016000200010			2016	2016										0							WOS:000383187000010	
J	"Owiny, A. A."								Communities of Trees Along a Tropical Forest Restoration Gradient								RUSSIAN JOURNAL OF ECOLOGY				47	1			53	61		10.1134/S1067413616010094			Jan-16	2016										1							WOS:000373375800007	
J	"Corbin, Jeffrey D.; Robinson, George R.; Hafkemeyer, Lauren M.; Handel, Steven N."								A long-term evaluation of applied nucleation as a strategy to facilitate forest restoration								ECOLOGICAL APPLICATIONS				26	1			104	114		10.1890/15-0075			Jan-16	2016										7							WOS:000369511000010	
J	"Cunningham, S. J.; Madden, C. F.; Barnard, P.; Amar, A."								"Electric crows: powerlines, climate change and the emergence of a native invader"								DIVERSITY AND DISTRIBUTIONS				22	1			17	29		10.1111/ddi.12381			Jan-16	2016										18							WOS:000369066200003	
J	"Rolhauser, Andres G.; Pucheta, Eduardo"								Annual plant functional traits explain shrub facilitation in a desert community								JOURNAL OF VEGETATION SCIENCE				27	1			60	68		10.1111/jvs.12335			Jan-16	2016										3							WOS:000367816400009	
J	"Bueno, Andrea; Llambi, Luis D."								Facilitation and edge effects influence vegetation regeneration in old-fields at the tropical Andean forest line								APPLIED VEGETATION SCIENCE				18	4			613	623		10.1111/avsc.12186			Oct-15	2015										7							WOS:000361181500008	
J	"Waitz, Yoni; Cohen, Yafit; Dorman, Michael; Perevolotsky, Avi"								From microsite selection to population spatial distribution: Pinus halepensis colonization in mediterranean-type ecosystems								PLANT ECOLOGY				216	9			1311	1324		10.1007/s11258-015-0511-7			Sep-15	2015										1							WOS:000362743000010	
J	"Jose Leiva, Maria; Manuel Mancilla-Leyton, Juan; Martin Vicente, Angel"								Differences in the facilitative ability of two Mediterranean shrubs on holm-oak seedling recruitment in Mediterranean savanna-forest ecosystems								ECOLOGICAL ENGINEERING				82				349	354		10.1016/j.ecoleng.2015.05.019			Sep-15	2015										6							WOS:000360189100039	
J	"James, Cassandra S.; Capon, Samantha J.; Quinn, Gerry P."								"Nurse plant effects of a dominant shrub (Duma florulenta) on understorey vegetation in a large, semi-arid wetland in relation to flood frequency and drying"								JOURNAL OF VEGETATION SCIENCE				26	5			985	994		10.1111/jvs.12297			Sep-15	2015										8							WOS:000359868800017	
J	"Ballantyne, Mark; Pickering, Catherine Marina"								Recreational trails as a source of negative impacts on the persistence of keystone species and facilitation								JOURNAL OF ENVIRONMENTAL MANAGEMENT				159				48	57		10.1016/j.jenvman.2015.05.026			AUG 15 2015	2015										7							WOS:000357908000006	
J	"Noumi, Zouhaier"								Effects of exotic and endogenous shrubs on understory vegetation and soil nutrients in the south of Tunisia								JOURNAL OF ARID LAND				7	4			481	487		10.1007/s40333-015-0047-7			Aug-15	2015										3							WOS:000353213300007	
J	"Su, Hua; Liu, Wei; Xu, Hong; Wang, Zongshuai; Zhang, Huifang; Hu, Haixiao; Li, Yonggeng"								Long-term livestock exclusion facilitates native woody plant encroachment in a sandy semiarid rangeland								ECOLOGY AND EVOLUTION				5	12			2445	2456		10.1002/ece3.1531			Jun-15	2015										6							WOS:000356370400013	
J	"Koyama, A.; Sasaki, T.; Jamsran, U.; Okuro, T."								Shrub cover regulates population dynamics of herbaceous plants at individual shrub scale on the Mongolian steppe								JOURNAL OF VEGETATION SCIENCE				26	3			441	451		10.1111/jvs.12253			May-15	2015										8							WOS:000352793500005	
J	"Osem, Yagil; Fogel, Tom; Moshe, Yossi; Brant, Shlomo"								Managing cattle grazing and overstorey cover for the conversion of pine monocultures into mixed Mediterranean woodlands								APPLIED VEGETATION SCIENCE				18	2			261	271		10.1111/avsc.12152			Apr-15	2015										7							WOS:000352131500011	
J	"Swaffer, Brooke A.; Holland, Kate L."								"Comparing ecophysiological traits and evapotranspiration of an invasive exotic, Pinus halepensis in native woodland overlying a karst aquifer"								ECOHYDROLOGY				8	2			230	242		10.1002/eco.1502			Mar-15	2015										2							WOS:000351140700005	
J	"Walker, Lawrence R.; Vrooman, Steven S.; Thompson, Daniel B."								"Rodent mounds facilitate shrubs and shrubs inhibit seedlings in the Mojave Desert, USA"								JOURNAL OF ARID ENVIRONMENTS				113				95	101		10.1016/j.jaridenv.2014.10.002			Feb-15	2015										3							WOS:000347137300012	
J	"Fischer, Christina; Kollmann, Johannes; Wagner, Thomas C."								"How does the seed fate of Crotalaria podocarpa DC, a highly competitive herbaceous legume in arid rangelands, contribute to its establishment probability?"								PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS				17	5			405	411		10.1016/j.ppees.2015.07.002			2015	2015										3							WOS:000363816500008	
J	"O'Connell, Dean M.; Monks, Adrian; Dickinson, Katharine J. M.; Lee, William G."								Is domatia production in Coprosma rotundifolia (Rubiaceae) induced by mites or foliar pathogens?								NEW ZEALAND JOURNAL OF ECOLOGY				39	2			214	220					2015	2015										1							WOS:000357247200007	
J	"Vlasakova, Blanka"								"Density dependence in flower visitation rates of cockroach-pollinated Clusia blattophila on the Nouragues inselberg, French Guiana"								JOURNAL OF TROPICAL ECOLOGY				31				95	98		10.1017/S0266467414000571			Jan-15	2015										0							WOS:000353215400010	
J	"Amat, Beatriz; Cortina, Jordi; Jacobo Zubcoff, Jose"								Community attributes determine facilitation potential in a semi-arid steppe								PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS				17	1			24	33		10.1016/j.ppees.2014.10.001			2015	2015										6							WOS:000350084600003	
J	"Schantz, Merilynn C.; Sheley, Roger L.; James, Jeremy J."								Role of propagule pressure and priority effects on seedlings during invasion and restoration of shrub-steppe								BIOLOGICAL INVASIONS				17	1			73	85		10.1007/s10530-014-0705-2			Jan-15	2015										12							WOS:000347526800011	
J	"Rathore, V. S.; Singh, J. P.; Bhardwaj, S.; Nathawat, N. S.; Kumar, Mahesh; Roy, M. M."								"Potential of Native Shrubs Haloxylon salicornicum and Calligonum Polygonoides for Restoration of Degraded Lands in Arid Western Rajasthan, India"								ENVIRONMENTAL MANAGEMENT				55	1			205	216		10.1007/s00267-014-0372-1			Jan-15	2015										8							WOS:000347715600016	
J	"Alba, Christina; Skalova, Hana; McGregor, Kirsty F.; D'Antonio, Carla; Pysek, Petr"								Native and exotic plant species respond differently to wildfire and prescribed fire as revealed by meta-analysis								JOURNAL OF VEGETATION SCIENCE				26	1			102	113		10.1111/jvs.12212			Jan-15	2015										23							WOS:000345704700012	
J	"Liu, Rentao; Zhu, Fan; An, Hui; Steinberger, Yosef"								Effect of naturally vs manually managed restoration on ground-dwelling arthropod communities in a desertified region								ECOLOGICAL ENGINEERING				73				545	552		10.1016/j.ecoleng.2014.09.092			Dec-14	2014										14							WOS:000347018400070	
J	"Vogt, Juliane; Lin, Yue; Pranchai, Aor; Frohberg, Peter; Mehlig, Ulf; Berge, Uta"								The importance of conspecific facilitation during recruitment and regeneration: A case study in degraded mangroves								BASIC AND APPLIED ECOLOGY				15	8			651	660		10.1016/j.baae.2014.09.005			Dec-14	2014										7							WOS:000345593900003	
J	"Arcese, P.; Schuster, R.; Campbell, L.; Barber, A.; Martin, T. G."								"Deer density and plant palatability predict shrub cover, richness, diversity and aboriginal food value in a North American archipelago"								DIVERSITY AND DISTRIBUTIONS				20	12			1368	1378		10.1111/ddi.12241			Dec-14	2014										8							WOS:000344589800002	
J	"Sotomayor, Diego A.; Lortie, Christopher J.; Lamarque, Laurent J."								Nurse-plant effects on the seed biology and germination of desert annuals								AUSTRAL ECOLOGY				39	7			786	794		10.1111/aec.12144			Nov-14	2014										7							WOS:000343800300015	
J	"Mendoza-Hernandez, Pedro E.; Rosete-Rodriguez, Alejandra; Sanchez-Coronado, Maria E.; Orozco, Susana; Pedrero-Lopez, Luis; Mendez, Ignacio; Orozco-Segovia, Alma"								Vegetation patches improve the establishment of Salvia mexicana seedlings by modifying microclimatic conditions								INTERNATIONAL JOURNAL OF BIOMETEOROLOGY				58	5			853	866		10.1007/s00484-013-0665-8			Jul-14	2014										7							WOS:000339105300022	
