Study.ID,rep,study.species,density.data,density.number,measure,facilitation.data,facilitation.measure,facilitation.conclusion,common.name.benefactor,latin.name.benefactor,protégé.taxa,protégé.common.name,protégé.latin.name,richness,diversity,N.sites,n.sites,lat,lng,macrohabitat,mesohabitat,function,hypothesis,notes
21,12.03,"shrub, tree",yes,722,shrubs/ha,no,observation,yes,Glossy Buckthorn,Frangula alnus ,tree,Eastern Hemlock,Tsuga canadensis ,,,8,3,43.151329,-70.942132,forest,canopy,microhabitat,Are invasive shrubs more abundant in canopy gaps created by large forests,Paper looks at the density of invasive shrub under canopy gaps
21,12.04,"shrub, tree",yes,4380,shrubs/ha,no,observation,yes,Glossy Buckthorn,Frangula alnus ,tree,Eastern Hemlock,Tsuga canadensis ,,,8,3,43.151329,-70.942132,forest,canopy,microhabitat,Are invasive shrubs more abundant in canopy gaps created by large forests,Paper looks at the density of invasive shrub under canopy gaps
21,12.05,"shrub, tree",yes,3075,shrubs/ha,no,observation,yes,Glossy Buckthorn,Frangula alnus ,tree,Eastern Hemlock,Tsuga canadensis ,,,8,3,43.151329,-70.942132,forest,canopy,microhabitat,Are invasive shrubs more abundant in canopy gaps created by large forests,Paper looks at the density of invasive shrub under canopy gaps
21,12.06,"shrub, tree",yes,26,shrubs/ha,no,observation,yes,Glossy Buckthorn,Frangula alnus ,tree,Eastern Hemlock,Tsuga canadensis ,,,8,3,43.151329,-70.942132,forest,canopy,microhabitat,Are invasive shrubs more abundant in canopy gaps created by large forests,Paper looks at the density of invasive shrub under canopy gaps
22,22.01,"shrub, tree",yes,7593,shrubs/ha,no,observation,yes,Old Man's Beard,Clematis vitalba ,tree,Bitter Willow,Salix elaeagnos,3,5,1,7,-39.5435,176.183,forest,canopy,microhabitat,Small scale canopy manipulation will increase will increase light transmission,Paper has density data for several different species of shrubs but not for facilitation
26,26.01,"shrub, tree, animal",yes,7.6,shrub/area,no,observation,yes,not mentioned,not mentioned,animal,Anerican Marten,Martes americana ,7,7,3,3,49.4166667,-82.4166667,forest,shrub/tree cover,protection,How are Martens using shrub and tree cover and how can it be used for developmental guidelines,Paper does not state what species of shrub are being recorded or looked at. Has density data and looks at how the Martens are using the microhabitats produced by shrubs and trees
26,26.02,"shrub, tree, animal",yes,5.6,shrub/area,no,observation,yes,not mentioned,not mentioned,animal,Anerican Marten,Martes americana ,7,7,3,3,49.4166667,-82.4166667,forest,shrub/tree cover,protection,How are Martens using shrub and tree cover and how can it be used for developmental guidelines,Paper does not state what species of shrub are being recorded or looked at. Has density data and looks at how the Martens are using the microhabitats produced by shrubs and trees
27,27.01,"shrub, tree",yes,7.2,shrub/area,no,observation,yes,Rhododendron ,Rhododendron caucasicum Pall. ,plant,Litwinow's Birch,Betula litwinowii ,2,3,2,78,42.40901,44.35949,mountain,shrub/tree cover,microhabitat,Seedling establishment in response to density on mountain slope,"Has density data but just as a final number (there are no figures to show it). Paper also characterizes a ""microsite"" as an individual in their study sit which seems weird. Located in Georgia"
27,27.02,"shrub, tree",yes,2.8,shrub/area,no,observation,yes,Rhododendron ,Rhododendron caucasicum Pall. ,tree,Litwinow's Birch,Betula litwinowii ,2,3,2,78,42.40901,44.35949,mountain,shrub/tree cover,microhabitat,Seedling establishment in response to density on mountain slope,"Has density data but just as a final number (there are no figures to show it). Paper also characterizes a ""microsite"" as an individual in their study sit which seems weird. Located in Georgia"
45,45.01,"shrub, tree",yes,60.4,average shrub/area,no,richness,yes,Siberian Peashrub,Caragana spp ,plant,,,20,,5,3,45.46,106.16,desert,shrub cover,facilitation,Does facilitation of shurbs change among spatial scales in Mongolia,"5 main sites with 3 microsites in each (low, med, high density) in Mongolia. Has Richness data but nothing on diversity. Mentions Protégé plants but never gives an acutal name for them."
45,45.02,"shrub, tree",yes,157.2,average shrub/area,no,richness,yes,Siberian Peashrub,Caragana spp ,plant,,,20,,5,3,45.46,106.16,desert,shrub cover,facilitation,Does facilitation of shurbs change among spatial scales in Mongolia,"6 main sites with 3 microsites in each (low, med, high density) in Mongolia. Has Richness data but nothing on diversity. Mentions Protégé plants but never gives an acutal name for them."
45,45.03,"shrub, tree",yes,461.2,average shrub/area,no,richness,yes,Siberian Peashrub,Caragana spp ,plant,,,20,,5,3,45.46,106.16,desert,shrub cover,facilitation,Does facilitation of shurbs change among spatial scales in Mongolia,"7 main sites with 3 microsites in each (low, med, high density) in Mongolia. Has Richness data but nothing on diversity. Mentions Protégé plants but never gives an acutal name for them."
48,48.01,"shrub, perennial",no,,,no,observation,yes,Sagebrush,Artemesia tridentata,plant,Summer haw,Crataegus flava,,,2,0,40.17821,-109.495437,desert,shrub/open,positive interaction,Positive interactions will increase with more aboitic stress and increase plant interaction,Only have 2 main sites but break it up via the year.
66,66.01,"shrub, tree",yes,1.09,shrubs/m^2,no,observation,yes,Red Melastome,Melastoma sanquineum ,plant,Turn-in-the-Wind,Mallotus paniculatus ,21,3.22,9,48,22.445999,114.093437,mountain,landslide,richness,Stem density and species richness and density will vary across landslides,Paper does not give specific coordinates but says that the study was done in and around Hong Kong. Paper looked at landslides in the area and affect on shrub densities and richness. Also revisit to double check on Function
78,78.01,"shrub, forbs, grasses",no,,,no,observation,yes,Acanthophyllum,Acanthophyllum mucronatum,plant,Prickly Thrift,Acantholimon ,,1,2,1,36.7,58.6166667,mountain,shrub/open,facilitation,Comparison of environmental variables on natural vegetation of a mountainous rangeland,Paper saya data density was recorded but no actual data number are found. Mentions richness but has no values for it.
79,79.01,shrub,yes,5.25,individuals/m^2,no,observation,yes,White Saxaul,Haloxylon persicum ,plant,Dog-fennel,Anthemis stiparum ,2,2,2,10,33.664458,9.01205,desert,shrub/open,positive interaction,Effects of shrubs on understory vegetation and soil nutrients,Paper does not specifically state the richness or diversity but looks at the 2 species of shrubs. Looks at both exotic and endogenous shrubs
80,80.01,shrub,yes,0,individuals/50m radius,no,observation,yes,Sugarbush,Protea repens ,animal,Cape Sugarbrd,Promerops cafer ,1,2,2,30/15,-33.689722,18.510833,shrubland,shrub,facilitation,Effects of intraspecific shrub community densitieson fecundity of shrubs,The study had 2 main sites and the inside had 30 and 15 populations.
80,80.02,shrub,yes,146,individuals/50m radius,no,observation,yes,Sugarbush,Protea repens ,animal,Cape Sugarbrd,Promerops cafer ,1,2,2,30/15,-33.689722,18.510833,shrubland,shrub,facilitation,Effects of intraspecific shrub community densitieson fecundity of shrubs,The study had 2 main sites and the inside had 30 and 15 populations.
82,82.01,"shrub, tree, grass, animal",yes,25-39,shrubs/ha,no,observation,yes,Mountain Pine,Pinus mugo ,plant,Norway spruce ,Picea abies ,2,2,3,4 to 9,50.083442,17.166881,mountain,forest,Interaction,Effects of Dwarf Pine shrub on spruce species in high mountain elevations,Has no density data but mentions it a lot.
83,83.01,"shrub, tree, grass, animal",yes,13.1,percent cover,no,count,no,Sagebrush,Artemisia tridentata,animal,Piñon mice ,Peromyscus truei ,2.5,2,2,12,38.980029,-114.299907,mountain,shrub/tree,Interaction,Conifer enroachment has reduced small mamal diversity and that sagebrush could serve as a means of restoration,"There were 2 sites, one for sage brush and one for confers then there were 12 microsites in each"
83,83.02,"shrub, tree, grass, animal",yes,18.6,percent cover,no,count,no,Sagebrush,Artemisia tridentata,animal,Piñon mice ,Peromyscus truei ,2.5,2,2,12,38.980029,-114.299907,mountain,shrub/tree,Interaction,Conifer enroachment has reduced small mamal diversity and that sagebrush could serve as a means of restoration,"There were 2 sites, one for sage brush and one for confers then there were 12 microsites in each"
83,83.03,"shrub, tree, grass, animal",yes,4.2,percent cover,no,count,no,Sagebrush,Artemisia tridentata,animal,Piñon mice ,Peromyscus truei ,2.5,2,2,12,38.980029,-114.299907,mountain,shrub/tree,Interaction,Conifer enroachment has reduced small mamal diversity and that sagebrush could serve as a means of restoration,"There were 2 sites, one for sage brush and one for confers then there were 12 microsites in each"
83,83.04,"shrub, tree, grass, animal",yes,3.7,percent cover,no,count,no,Sagebrush,Artemisia tridentata,animal,Piñon mice ,Peromyscus truei ,2.5,2,2,12,38.980029,-114.299907,mountain,shrub/tree,Interaction,Conifer enroachment has reduced small mamal diversity and that sagebrush could serve as a means of restoration,"There were 2 sites, one for sage brush and one for confers then there were 12 microsites in each"
88,88.01,"shrub, tree, perenials",yes,100,seed/m^2,no,observation,no,Ochradenus,Ochradenus baccatus ,plant,Acacia,Acacia plicatum,3,1,1,4,31.25,35.366667,desert,cliff,facilitation,Direct dispersal is tested against random dispersal,Study seems a bit strange. Only one main study site with 4 microsites within it.
88,88.02,"shrub, tree, perenials",yes,1,seedling/m^2,no,observation,no,Ochradenus,Ochradenus baccatus ,plant,Acacia,Acacia plicatum,3,1,1,4,31.25,35.366667,desert,cliff,facilitation,Direct dispersal is tested against random dispersal,Study seems a bit strange. Only one main study site with 4 microsites within it.
94,94.01,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.02,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.03,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.04,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.05,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.06,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.07,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.08,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.09,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.10,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.11,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.12,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.13,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.14,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.15,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.16,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.17,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.18,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.19,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.20,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.21,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.22,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.23,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.24,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.25,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.26,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.27,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.28,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.29,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.30,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.31,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.32,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.33,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.34,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.35,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.36,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.37,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.38,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.39,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.40,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.41,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.42,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.43,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.44,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.45,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.46,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.47,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.48,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.49,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.50,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
94,94.51,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
